veh_id,video,frame,bboxX,bboxY,Width,Height,Direction,Velocity
3,DJI_0406_cut,2,1124,271,31,18,,83
4,DJI_0406_cut,2,185,401,27,16,,73
5,DJI_0406_cut,2,52,390,29,16,,83
6,DJI_0406_cut,2,1065,135,29,18,,71
7,DJI_0406_cut,2,837,405,31,16,,63
8,DJI_0406_cut,2,1172,114,33,18,,40
9,DJI_0406_cut,2,103,362,29,20,,43
10,DJI_0406_cut,2,307,166,29,20,,36
12,DJI_0406_cut,2,425,153,29,18,,103
14,DJI_0406_cut,2,193,176,29,18,,171
15,DJI_0406_cut,2,970,258,31,16,,93
17,DJI_0406_cut,2,667,133,31,17,,46
18,DJI_0406_cut,2,1200,418,52,29,,20
20,DJI_0406_cut,2,1153,267,29,18,,0
21,DJI_0406_cut,2,389,375,21,17,,0
0,DJI_0406_cut,3,818,242,31,16,,73
1,DJI_0406_cut,3,747,148,31,18,,55
2,DJI_0406_cut,3,875,370,29,18,,78
4,DJI_0406_cut,3,183,402,27,16,,62
5,DJI_0406_cut,3,48,384,31,17,,98
6,DJI_0406_cut,3,1069,133,29,18,,74
7,DJI_0406_cut,3,833,405,31,16,,66
8,DJI_0406_cut,3,1176,113,33,18,,51
9,DJI_0406_cut,3,98,358,31,20,,67
10,DJI_0406_cut,3,309,166,29,18,,36
12,DJI_0406_cut,3,429,153,29,18,,93
15,DJI_0406_cut,3,974,258,33,16,,86
17,DJI_0406_cut,3,671,132,31,17,,55
18,DJI_0406_cut,3,1193,419,52,31,,55
20,DJI_0406_cut,3,1155,268,29,20,,40
21,DJI_0406_cut,3,389,375,18,17,,0
22,DJI_0406_cut,3,197,176,29,20,,0
23,DJI_0406_cut,3,1271,412,8,24,,0
0,DJI_0406_cut,4,825,243,31,16,,87
1,DJI_0406_cut,4,751,148,31,18,,59
2,DJI_0406_cut,4,873,370,27,18,,68
4,DJI_0406_cut,4,178,403,27,15,,69
5,DJI_0406_cut,4,42,384,29,16,,101
6,DJI_0406_cut,4,1073,133,29,18,,73
7,DJI_0406_cut,4,831,405,29,16,,58
8,DJI_0406_cut,4,1181,112,33,18,,61
9,DJI_0406_cut,4,90,360,29,18,,87
10,DJI_0406_cut,4,315,166,29,20,,54
12,DJI_0406_cut,4,433,155,29,18,,89
15,DJI_0406_cut,4,978,256,33,17,,84
17,DJI_0406_cut,4,671,132,29,18,,41
18,DJI_0406_cut,4,1183,418,52,33,,87
19,DJI_0406_cut,4,206,176,29,18,,49
20,DJI_0406_cut,4,1160,270,29,20,,68
21,DJI_0406_cut,4,387,375,18,17,,18
23,DJI_0406_cut,4,1261,412,16,23,,180
24,DJI_0406_cut,4,336,155,31,18,,0
0,DJI_0406_cut,5,829,245,29,16,,85
1,DJI_0406_cut,5,753,146,31,18,,58
2,DJI_0406_cut,5,869,371,27,17,,69
4,DJI_0406_cut,5,168,402,27,15,,92
5,DJI_0406_cut,5,35,388,29,16,,110
6,DJI_0406_cut,5,1077,133,29,18,,73
7,DJI_0406_cut,5,825,403,31,16,,69
8,DJI_0406_cut,5,1185,112,33,18,,63
9,DJI_0406_cut,5,82,360,31,18,,99
12,DJI_0406_cut,5,433,155,29,18,,71
15,DJI_0406_cut,5,987,258,31,16,,101
17,DJI_0406_cut,5,675,130,31,18,,49
18,DJI_0406_cut,5,1183,419,52,31,,73
19,DJI_0406_cut,5,208,175,29,20,,47
20,DJI_0406_cut,5,1162,272,29,18,,62
21,DJI_0406_cut,5,381,375,18,17,,48
23,DJI_0406_cut,5,1261,412,18,22,,90
25,DJI_0406_cut,5,324,159,29,18,,0
26,DJI_0406_cut,5,2,204,6,20,,0
0,DJI_0406_cut,6,835,245,31,16,,89
1,DJI_0406_cut,6,755,146,31,18,,54
2,DJI_0406_cut,6,863,371,29,18,,75
4,DJI_0406_cut,6,164,401,27,15,,89
5,DJI_0406_cut,6,33,388,29,16,,97
6,DJI_0406_cut,6,1082,133,29,18,,76
7,DJI_0406_cut,6,827,402,31,16,,64
8,DJI_0406_cut,6,1187,113,33,18,,59
9,DJI_0406_cut,6,77,361,31,18,,97
12,DJI_0406_cut,6,437,155,31,18,,71
15,DJI_0406_cut,6,991,259,35,16,,96
17,DJI_0406_cut,6,677,130,31,18,,47
18,DJI_0406_cut,6,1176,419,54,31,,82
19,DJI_0406_cut,6,210,175,29,18,,45
20,DJI_0406_cut,6,1155,273,31,18,,79
21,DJI_0406_cut,6,376,373,18,18,,60
23,DJI_0406_cut,6,1258,412,18,22,,78
25,DJI_0406_cut,6,328,162,29,18,,90
26,DJI_0406_cut,6,0,203,8,20,,40
27,DJI_0406_cut,6,848,365,33,17,,0
0,DJI_0406_cut,7,840,245,31,16,,89
1,DJI_0406_cut,7,762,146,31,18,,64
4,DJI_0406_cut,7,162,401,29,15,,81
5,DJI_0406_cut,7,27,388,31,16,,99
6,DJI_0406_cut,7,1084,133,29,18,,70
8,DJI_0406_cut,7,1191,114,31,18,,61
9,DJI_0406_cut,7,71,362,31,20,,99
12,DJI_0406_cut,7,440,153,29,20,,70
15,DJI_0406_cut,7,997,259,33,17,,98
17,DJI_0406_cut,7,684,132,31,20,,59
18,DJI_0406_cut,7,1176,419,54,31,,70
19,DJI_0406_cut,7,210,176,29,17,,40
20,DJI_0406_cut,7,1153,274,33,17,,71
21,DJI_0406_cut,7,374,375,18,17,,58
24,DJI_0406_cut,7,332,162,29,18,,48
26,DJI_0406_cut,7,0,200,14,23,,47
27,DJI_0406_cut,7,844,364,33,18,,74
28,DJI_0406_cut,7,827,394,31,17,,0
0,DJI_0406_cut,8,846,245,31,16,,91
1,DJI_0406_cut,8,764,146,29,20,,61
4,DJI_0406_cut,8,160,402,29,15,,76
5,DJI_0406_cut,8,25,388,29,16,,91
6,DJI_0406_cut,8,1088,135,29,18,,71
7,DJI_0406_cut,8,821,396,31,17,,67
8,DJI_0406_cut,8,1195,114,31,17,,63
9,DJI_0406_cut,8,67,362,31,18,,96
12,DJI_0406_cut,8,444,153,29,20,,71
15,DJI_0406_cut,8,1006,259,31,17,,106
17,DJI_0406_cut,8,688,132,29,20,,60
18,DJI_0406_cut,8,1172,418,54,31,,70
19,DJI_0406_cut,8,212,176,29,17,,39
20,DJI_0406_cut,8,1157,275,33,16,,71
21,DJI_0406_cut,8,368,374,18,17,,67
24,DJI_0406_cut,8,334,162,29,18,,45
26,DJI_0406_cut,8,0,201,16,21,,37
27,DJI_0406_cut,8,842,364,31,18,,55
29,DJI_0406_cut,8,1244,410,27,20,,0
0,DJI_0406_cut,9,854,245,31,17,,97
1,DJI_0406_cut,9,768,146,29,20,,62
4,DJI_0406_cut,9,157,400,29,15,,75
5,DJI_0406_cut,9,21,388,29,15,,89
6,DJI_0406_cut,9,1088,133,29,18,,67
7,DJI_0406_cut,9,816,396,31,17,,70
8,DJI_0406_cut,9,1197,113,31,18,,60
9,DJI_0406_cut,9,65,362,31,18,,89
12,DJI_0406_cut,9,448,152,29,18,,71
15,DJI_0406_cut,9,1008,260,33,16,,98
17,DJI_0406_cut,9,694,131,29,18,,66
18,DJI_0406_cut,9,1170,415,56,30,,70
19,DJI_0406_cut,9,218,174,29,18,,49
20,DJI_0406_cut,9,1166,277,31,16,,85
24,DJI_0406_cut,9,338,162,29,18,,50
26,DJI_0406_cut,9,0,201,18,20,,28
27,DJI_0406_cut,9,842,364,31,20,,36
29,DJI_0406_cut,9,1240,407,27,21,,90
30,DJI_0406_cut,9,2,189,18,20,,0
0,DJI_0406_cut,10,858,249,31,17,,98
1,DJI_0406_cut,10,772,145,31,18,,63
4,DJI_0406_cut,10,151,402,29,15,,78
5,DJI_0406_cut,10,14,387,29,16,,93
6,DJI_0406_cut,10,1090,136,29,16,,67
7,DJI_0406_cut,10,812,396,31,16,,70
8,DJI_0406_cut,10,1200,113,31,20,,60
9,DJI_0406_cut,10,58,362,31,18,,93
12,DJI_0406_cut,10,450,153,29,18,,68
15,DJI_0406_cut,10,1014,260,31,17,,99
17,DJI_0406_cut,10,696,132,29,18,,63
18,DJI_0406_cut,10,1164,415,56,28,,74
19,DJI_0406_cut,10,218,174,29,18,,43
20,DJI_0406_cut,10,1172,278,31,16,,88
24,DJI_0406_cut,10,345,159,29,18,,65
26,DJI_0406_cut,10,0,195,25,21,,44
27,DJI_0406_cut,10,840,364,31,18,,36
29,DJI_0406_cut,10,1233,407,27,21,,108
31,DJI_0406_cut,10,355,374,21,16,,0
0,DJI_0406_cut,11,865,248,31,16,,100
1,DJI_0406_cut,11,774,145,31,18,,61
4,DJI_0406_cut,11,155,403,27,15,,78
5,DJI_0406_cut,11,14,387,29,16,,84
6,DJI_0406_cut,11,1096,132,29,16,,73
7,DJI_0406_cut,11,812,397,31,16,,65
8,DJI_0406_cut,11,1204,113,31,20,,61
9,DJI_0406_cut,11,54,362,31,18,,91
12,DJI_0406_cut,11,458,155,29,17,,75
15,DJI_0406_cut,11,1021,260,31,16,,102
17,DJI_0406_cut,11,703,132,29,18,,69
18,DJI_0406_cut,11,1166,415,54,28,,70
19,DJI_0406_cut,11,225,174,31,17,,51
20,DJI_0406_cut,11,1178,278,31,16,,90
24,DJI_0406_cut,11,343,158,29,18,,61
26,DJI_0406_cut,11,0,196,27,20,,39
27,DJI_0406_cut,11,835,365,31,17,,47
29,DJI_0406_cut,11,1231,403,27,21,,99
31,DJI_0406_cut,11,353,376,21,15,,51
0,DJI_0406_cut,12,869,248,29,17,,98
1,DJI_0406_cut,12,778,145,31,18,,61
4,DJI_0406_cut,12,151,403,29,15,,78
5,DJI_0406_cut,12,10,387,29,16,,83
6,DJI_0406_cut,12,1103,132,29,16,,77
7,DJI_0406_cut,12,808,399,31,16,,66
8,DJI_0406_cut,12,1208,113,31,18,,62
9,DJI_0406_cut,12,46,364,31,17,,96
12,DJI_0406_cut,12,463,153,27,17,,77
15,DJI_0406_cut,12,1025,260,31,17,,99
17,DJI_0406_cut,12,705,133,29,18,,66
18,DJI_0406_cut,12,1162,414,56,28,,70
19,DJI_0406_cut,12,229,174,31,17,,53
20,DJI_0406_cut,12,1181,279,31,17,,87
24,DJI_0406_cut,12,345,156,29,20,,60
26,DJI_0406_cut,12,0,196,29,18,,34
27,DJI_0406_cut,12,827,364,31,17,,63
29,DJI_0406_cut,12,1223,403,29,21,,110
31,DJI_0406_cut,12,347,376,21,16,,79
32,DJI_0406_cut,12,1221,268,25,21,,0
0,DJI_0406_cut,13,873,248,31,16,,96
1,DJI_0406_cut,13,783,145,31,18,,64
4,DJI_0406_cut,13,147,402,27,15,,77
5,DJI_0406_cut,13,8,387,29,16,,79
6,DJI_0406_cut,13,1107,132,29,16,,77
7,DJI_0406_cut,13,804,400,31,16,,67
8,DJI_0406_cut,13,1212,114,31,18,,63
9,DJI_0406_cut,13,44,365,31,17,,91
12,DJI_0406_cut,13,465,152,29,18,,74
15,DJI_0406_cut,13,1033,261,31,16,,103
17,DJI_0406_cut,13,709,132,29,18,,67
18,DJI_0406_cut,13,1155,413,58,29,,75
19,DJI_0406_cut,13,231,170,33,18,,56
20,DJI_0406_cut,13,1183,279,29,17,,82
24,DJI_0406_cut,13,349,155,29,20,,61
26,DJI_0406_cut,13,2,196,31,20,,34
27,DJI_0406_cut,13,823,364,31,17,,65
29,DJI_0406_cut,13,1221,405,29,20,,98
31,DJI_0406_cut,13,345,375,21,16,,66
32,DJI_0406_cut,13,1221,270,25,20,,36
0,DJI_0406_cut,14,877,248,31,16,,94
1,DJI_0406_cut,14,787,145,33,18,,64
4,DJI_0406_cut,14,145,403,27,15,,75
5,DJI_0406_cut,14,4,389,31,16,,79
6,DJI_0406_cut,14,1111,133,29,16,,77
7,DJI_0406_cut,14,800,396,31,17,,69
8,DJI_0406_cut,14,1214,114,31,18,,61
9,DJI_0406_cut,14,42,364,33,18,,88
12,DJI_0406_cut,14,467,152,29,18,,71
15,DJI_0406_cut,14,1037,261,31,16,,101
17,DJI_0406_cut,14,711,132,29,17,,65
18,DJI_0406_cut,14,1151,414,56,28,,75
19,DJI_0406_cut,14,237,172,31,17,,60
20,DJI_0406_cut,14,1183,279,29,17,,75
24,DJI_0406_cut,14,351,156,29,20,,59
26,DJI_0406_cut,14,4,195,29,20,,35
27,DJI_0406_cut,14,816,364,31,18,,72
29,DJI_0406_cut,14,1216,405,29,20,,97
31,DJI_0406_cut,14,341,376,21,17,,68
32,DJI_0406_cut,14,1225,271,27,18,,55
33,DJI_0406_cut,14,1273,451,6,18,,0
0,DJI_0406_cut,15,884,248,29,16,,96
1,DJI_0406_cut,15,793,145,31,18,,67
4,DJI_0406_cut,15,141,403,27,15,,74
5,DJI_0406_cut,15,0,391,21,17,,79
6,DJI_0406_cut,15,1115,133,29,16,,76
7,DJI_0406_cut,15,795,399,31,16,,72
8,DJI_0406_cut,15,1214,116,33,17,,59
9,DJI_0406_cut,15,42,365,31,18,,83
12,DJI_0406_cut,15,471,152,29,18,,71
15,DJI_0406_cut,15,1037,262,31,16,,95
17,DJI_0406_cut,15,715,132,29,18,,65
18,DJI_0406_cut,15,1149,415,56,27,,72
19,DJI_0406_cut,15,240,171,31,18,,60
24,DJI_0406_cut,15,360,158,29,18,,69
26,DJI_0406_cut,15,6,194,29,20,,35
27,DJI_0406_cut,15,810,364,33,18,,76
29,DJI_0406_cut,15,1212,405,29,20,,93
31,DJI_0406_cut,15,336,376,21,16,,72
32,DJI_0406_cut,15,1227,274,27,18,,58
34,DJI_0406_cut,15,1191,274,27,18,,0
35,DJI_0406_cut,15,6,383,27,16,,0
0,DJI_0406_cut,16,888,247,31,16,,95
1,DJI_0406_cut,16,797,145,31,18,,67
4,DJI_0406_cut,16,134,405,27,15,,78
5,DJI_0406_cut,16,0,390,18,18,,76
6,DJI_0406_cut,16,1120,131,29,16,,78
7,DJI_0406_cut,16,793,394,29,16,,73
8,DJI_0406_cut,16,1221,113,31,18,,64
9,DJI_0406_cut,16,37,367,31,18,,84
12,DJI_0406_cut,16,473,153,29,17,,69
15,DJI_0406_cut,16,1040,262,31,16,,92
17,DJI_0406_cut,16,720,136,29,17,,68
18,DJI_0406_cut,16,1145,414,56,29,,73
19,DJI_0406_cut,16,242,171,33,18,,58
24,DJI_0406_cut,16,360,156,29,20,,66
26,DJI_0406_cut,16,8,194,29,20,,35
27,DJI_0406_cut,16,814,365,31,18,,76
29,DJI_0406_cut,16,1210,403,29,18,,88
31,DJI_0406_cut,16,332,376,21,17,,72
32,DJI_0406_cut,16,1233,277,27,17,,74
33,DJI_0406_cut,16,1263,450,16,20,,90
36,DJI_0406_cut,16,789,402,31,16,,0
37,DJI_0406_cut,16,18,371,27,17,,0
0,DJI_0406_cut,17,894,248,31,17,,96
1,DJI_0406_cut,17,800,145,31,20,,67
4,DJI_0406_cut,17,128,403,29,16,,80
6,DJI_0406_cut,17,1124,132,29,16,,77
7,DJI_0406_cut,17,787,401,31,16,,79
8,DJI_0406_cut,17,1223,112,31,18,,62
9,DJI_0406_cut,17,31,367,31,18,,85
12,DJI_0406_cut,17,477,152,29,18,,70
15,DJI_0406_cut,17,1044,262,31,16,,91
17,DJI_0406_cut,17,730,129,29,17,,77
18,DJI_0406_cut,17,1143,413,58,27,,71
19,DJI_0406_cut,17,246,171,29,17,,59
24,DJI_0406_cut,17,364,157,29,18,,67
26,DJI_0406_cut,17,12,193,29,21,,38
27,DJI_0406_cut,17,808,367,31,18,,79
29,DJI_0406_cut,17,1204,403,29,18,,90
31,DJI_0406_cut,17,326,376,21,17,,77
32,DJI_0406_cut,17,1237,275,25,18,,75
33,DJI_0406_cut,17,1263,451,16,18,,66
38,DJI_0406_cut,17,0,391,14,20,,0
0,DJI_0406_cut,18,898,249,31,16,,95
1,DJI_0406_cut,18,804,145,29,20,,67
4,DJI_0406_cut,18,124,405,29,16,,80
6,DJI_0406_cut,18,1128,132,29,17,,77
7,DJI_0406_cut,18,781,402,33,16,,80
8,DJI_0406_cut,18,1229,113,31,18,,65
9,DJI_0406_cut,18,27,368,31,20,,85
12,DJI_0406_cut,18,482,152,29,18,,71
15,DJI_0406_cut,18,1052,265,31,15,,95
17,DJI_0406_cut,18,732,127,29,17,,76
18,DJI_0406_cut,18,1141,414,54,27,,69
19,DJI_0406_cut,18,246,170,31,18,,57
24,DJI_0406_cut,18,368,156,29,18,,67
26,DJI_0406_cut,18,14,194,29,20,,38
27,DJI_0406_cut,18,804,367,29,18,,79
29,DJI_0406_cut,18,1202,403,29,18,,85
31,DJI_0406_cut,18,322,376,21,17,,77
32,DJI_0406_cut,18,1240,278,25,20,,75
33,DJI_0406_cut,18,1261,452,18,17,,59
38,DJI_0406_cut,18,0,393,6,20,,36
39,DJI_0406_cut,18,1258,270,21,20,,0
40,DJI_0406_cut,18,311,380,23,16,,0
0,DJI_0406_cut,19,905,248,31,16,,96
1,DJI_0406_cut,19,806,145,31,18,,65
4,DJI_0406_cut,19,124,406,27,16,,77
6,DJI_0406_cut,19,1130,136,29,17,,77
7,DJI_0406_cut,19,778,400,31,16,,80
8,DJI_0406_cut,19,1225,113,29,20,,65
9,DJI_0406_cut,19,25,368,31,18,,82
12,DJI_0406_cut,19,486,152,27,18,,71
15,DJI_0406_cut,19,1058,264,31,16,,95
17,DJI_0406_cut,19,734,126,29,17,,74
18,DJI_0406_cut,19,1147,416,50,28,,71
19,DJI_0406_cut,19,248,170,29,18,,55
24,DJI_0406_cut,19,368,157,29,18,,64
26,DJI_0406_cut,19,18,193,29,21,,41
27,DJI_0406_cut,19,797,365,29,18,,83
29,DJI_0406_cut,19,1187,402,33,17,,101
31,DJI_0406_cut,19,317,376,21,17,,78
33,DJI_0406_cut,19,1258,452,21,17,,58
38,DJI_0406_cut,19,0,394,4,21,,27
39,DJI_0406_cut,19,1261,271,16,20,,57
41,DJI_0406_cut,19,1225,280,25,18,,0
0,DJI_0406_cut,20,909,248,33,17,,95
1,DJI_0406_cut,20,810,145,31,18,,66
4,DJI_0406_cut,20,122,407,27,15,,75
6,DJI_0406_cut,20,1132,135,29,17,,75
7,DJI_0406_cut,20,776,400,31,16,,77
8,DJI_0406_cut,20,1227,108,29,21,,67
9,DJI_0406_cut,20,14,368,33,18,,88
12,DJI_0406_cut,20,488,151,29,18,,69
15,DJI_0406_cut,20,1067,266,29,17,,99
17,DJI_0406_cut,20,743,127,29,18,,78
18,DJI_0406_cut,20,1141,412,50,28,,74
19,DJI_0406_cut,20,250,171,31,17,,55
24,DJI_0406_cut,20,364,156,29,18,,65
26,DJI_0406_cut,20,21,191,29,21,,43
27,DJI_0406_cut,20,789,363,31,18,,87
29,DJI_0406_cut,20,1178,400,33,18,,107
31,DJI_0406_cut,20,311,376,21,17,,81
33,DJI_0406_cut,20,1256,450,23,18,,57
41,DJI_0406_cut,20,1221,284,27,18,,102
0,DJI_0406_cut,21,920,251,31,17,,100
1,DJI_0406_cut,21,816,146,31,18,,68
4,DJI_0406_cut,21,111,405,29,16,,81
6,DJI_0406_cut,21,1134,135,29,17,,73
7,DJI_0406_cut,21,770,399,31,16,,79
8,DJI_0406_cut,21,1231,107,29,21,,67
9,DJI_0406_cut,21,10,368,31,18,,87
12,DJI_0406_cut,21,492,151,27,18,,69
15,DJI_0406_cut,21,1073,267,31,18,,99
17,DJI_0406_cut,21,745,127,31,17,,76
18,DJI_0406_cut,21,1134,413,50,29,,77
19,DJI_0406_cut,21,258,172,29,17,,59
24,DJI_0406_cut,21,364,156,29,18,,61
26,DJI_0406_cut,21,23,193,29,20,,43
27,DJI_0406_cut,21,785,362,29,18,,87
29,DJI_0406_cut,21,1174,401,33,18,,104
31,DJI_0406_cut,21,311,376,18,17,,74
33,DJI_0406_cut,21,1252,450,27,18,,59
41,DJI_0406_cut,21,1218,283,31,18,,79
0,DJI_0406_cut,22,922,252,33,17,,98
1,DJI_0406_cut,22,821,146,29,18,,69
4,DJI_0406_cut,22,107,406,27,16,,81
6,DJI_0406_cut,22,1136,135,29,17,,72
7,DJI_0406_cut,22,766,400,31,16,,79
8,DJI_0406_cut,22,1229,108,29,21,,66
9,DJI_0406_cut,22,6,369,29,20,,86
12,DJI_0406_cut,22,496,151,27,18,,69
15,DJI_0406_cut,22,1075,267,33,17,,97
17,DJI_0406_cut,22,749,129,29,18,,76
18,DJI_0406_cut,22,1132,414,52,28,,75
19,DJI_0406_cut,22,263,171,29,17,,61
24,DJI_0406_cut,22,370,156,29,18,,63
26,DJI_0406_cut,22,25,191,29,21,,43
27,DJI_0406_cut,22,781,362,31,18,,86
29,DJI_0406_cut,22,1168,400,33,18,,105
31,DJI_0406_cut,22,305,376,21,17,,76
33,DJI_0406_cut,22,1248,450,27,17,,61
41,DJI_0406_cut,22,1223,285,33,16,,85
0,DJI_0406_cut,23,932,249,29,17,,101
1,DJI_0406_cut,23,825,145,31,20,,69
4,DJI_0406_cut,23,103,405,29,16,,80
6,DJI_0406_cut,23,1141,133,29,17,,73
7,DJI_0406_cut,23,762,399,31,16,,79
8,DJI_0406_cut,23,1229,110,29,20,,65
9,DJI_0406_cut,23,2,369,31,18,,86
12,DJI_0406_cut,23,501,151,27,18,,70
15,DJI_0406_cut,23,1082,267,31,17,,98
17,DJI_0406_cut,23,753,131,29,17,,77
18,DJI_0406_cut,23,1126,413,52,30,,76
19,DJI_0406_cut,23,271,168,29,18,,65
24,DJI_0406_cut,23,372,156,29,18,,62
26,DJI_0406_cut,23,27,191,29,22,,43
27,DJI_0406_cut,23,776,361,31,18,,86
29,DJI_0406_cut,23,1168,400,31,20,,98
31,DJI_0406_cut,23,303,377,21,17,,74
33,DJI_0406_cut,23,1246,450,27,17,,58
41,DJI_0406_cut,23,1227,286,31,17,,82
0,DJI_0406_cut,24,936,251,29,17,,0
1,DJI_0406_cut,24,829,145,31,18,,0
4,DJI_0406_cut,24,101,406,27,15,,0
6,DJI_0406_cut,24,1143,133,29,16,,0
7,DJI_0406_cut,24,757,402,31,15,,80
8,DJI_0406_cut,24,1235,110,29,20,,0
9,DJI_0406_cut,24,0,370,29,17,,0
12,DJI_0406_cut,24,498,152,29,20,,0
15,DJI_0406_cut,24,1084,268,33,17,,0
17,DJI_0406_cut,24,755,130,29,17,,0
18,DJI_0406_cut,24,1124,414,50,31,,0
19,DJI_0406_cut,24,271,166,29,18,,64
24,DJI_0406_cut,24,372,155,27,18,,60
26,DJI_0406_cut,24,27,188,29,23,,44
27,DJI_0406_cut,24,768,360,31,18,,89
29,DJI_0406_cut,24,1164,399,31,20,,96
31,DJI_0406_cut,24,298,377,21,17,,75
32,DJI_0406_cut,24,1235,288,31,18,,54
33,DJI_0406_cut,24,1242,448,29,18,,60
42,DJI_0406_cut,24,397,153,29,18,,0
0,DJI_0406_cut,25,941,251,31,17,,104
1,DJI_0406_cut,25,831,145,31,18,,70
4,DJI_0406_cut,25,96,406,29,15,,82
6,DJI_0406_cut,25,1149,131,29,17,,76
7,DJI_0406_cut,25,755,402,31,15,,0
8,DJI_0406_cut,25,1240,110,29,20,,70
9,DJI_0406_cut,25,0,370,27,18,,84
12,DJI_0406_cut,25,503,150,29,20,,74
15,DJI_0406_cut,25,1088,268,33,17,,98
17,DJI_0406_cut,25,757,129,29,17,,77
18,DJI_0406_cut,25,1115,407,54,30,,84
19,DJI_0406_cut,25,275,166,29,18,,64
26,DJI_0406_cut,25,29,187,29,23,,43
27,DJI_0406_cut,25,764,360,31,18,,88
29,DJI_0406_cut,25,1160,399,31,20,,95
31,DJI_0406_cut,25,294,376,18,17,,75
32,DJI_0406_cut,25,1240,290,29,18,,57
33,DJI_0406_cut,25,1240,447,29,18,,58
42,DJI_0406_cut,25,400,153,29,18,,54
0,DJI_0406_cut,26,943,251,29,17,Right,103
1,DJI_0406_cut,26,833,144,31,18,Right,70
4,DJI_0406_cut,26,94,407,27,15,Left,81
6,DJI_0406_cut,26,1151,131,29,17,Right,74
7,DJI_0406_cut,26,753,402,31,16,,79
8,DJI_0406_cut,26,1237,110,29,20,Right,72
9,DJI_0406_cut,26,0,373,18,17,Left,84
12,DJI_0406_cut,26,507,150,29,20,Right,72
15,DJI_0406_cut,26,1096,270,31,17,Down-Right,100
17,DJI_0406_cut,26,760,130,29,17,Right,78
18,DJI_0406_cut,26,1115,407,54,30,Left,82
19,DJI_0406_cut,26,277,166,29,18,,63
26,DJI_0406_cut,26,31,187,29,22,,43
27,DJI_0406_cut,26,755,362,29,18,,92
29,DJI_0406_cut,26,1155,399,31,20,,94
31,DJI_0406_cut,26,288,378,21,17,,77
32,DJI_0406_cut,26,1242,290,27,20,,56
33,DJI_0406_cut,26,1237,447,29,18,,58
42,DJI_0406_cut,26,402,152,27,20,,47
43,DJI_0406_cut,26,0,247,14,22,,0
0,DJI_0406_cut,27,947,252,31,17,Down-Right,104
1,DJI_0406_cut,27,837,144,31,18,Right,70
4,DJI_0406_cut,27,90,407,27,15,Left,81
6,DJI_0406_cut,27,1155,130,29,17,Right,75
7,DJI_0406_cut,27,749,402,31,16,Left,77
8,DJI_0406_cut,27,1240,110,29,18,Right,71
12,DJI_0406_cut,27,511,150,29,20,Right,71
15,DJI_0406_cut,27,1101,270,31,17,Down-Right,101
17,DJI_0406_cut,27,762,129,29,17,Right,77
18,DJI_0406_cut,27,1113,408,56,29,Left,84
19,DJI_0406_cut,27,280,166,29,18,,0
26,DJI_0406_cut,27,37,187,29,22,,46
27,DJI_0406_cut,27,751,361,31,18,,91
29,DJI_0406_cut,27,1151,401,31,18,,94
31,DJI_0406_cut,27,284,377,21,17,,77
32,DJI_0406_cut,27,1244,290,25,20,,54
33,DJI_0406_cut,27,1233,447,29,18,,59
42,DJI_0406_cut,27,404,155,29,20,,53
43,DJI_0406_cut,27,0,246,16,20,,18
44,DJI_0406_cut,27,0,374,14,18,,0
